Rank,Player,RPG
1.,Wilt Chamberlain*,22.89
2.,Bill Russell*,22.45
3.,Bob Pettit*,16.22
4.,Jerry Lucas*,15.61
5.,Nate Thurmond*,15.00
6.,Mel Daniels*,14.91
7.,Wes Unseld*,13.99
8.,Walt Bellamy*,13.65
9.,Dave Cowens*,13.63
10.,Elgin Baylor*,13.55
11.,Andre Drummond,13.22
12.,Dennis Rodman*,13.12
13.,Willis Reed*,12.94
14.,Elvin Hayes*,12.49
15.,Artis Gilmore*,12.29
16.,Moses Malone*,12.26
17.,Gus Johnson*,12.08
18.,Dolph Schayes*,12.08
19.,Bill Bridges,11.94
20.,Mike Lewis,11.93
21.,Harry Gallatin*,11.89
22.,Dwight Howard,11.78
23.,Charles Barkley*,11.69
24.,Rudy Gobert,11.68
25.,Ira Harge,11.60
26.,Swen Nater,11.55
27.,Neil Johnston*,11.35
28.,Karl-Anthony Towns,11.28
29.,Walter Dukes,11.25
30.,Kareem Abdul-Jabbar*,11.18
31.,Red Kerr,11.15
32.,Hakeem Olajuwon*,11.11
33.,Julius Keye,11.01
34.,Dave DeBusschere*,10.99
35.,George McGinnis*,10.97
36.,Goose Ligon,10.88
37.,Zelmo Beaty*,10.87
38.,Shaquille O'Neal*,10.85
39.,Tim Duncan*,10.84
40.,Hassan Whiteside,10.81
41.,Clint Capela,10.69
42.,David Robinson*,10.64
43.,Kevin Love,10.63
44.,Elmore Smith,10.61
45.,Bill Walton*,10.52
46.,Red Robbins,10.50
47.,Nikola Vučević,10.46
48.,Gerald Govan,10.45
49.,Billy Cunningham*,10.36
50.,Nikola Jokić,10.34
51.,Happy Hairston,10.33
52.,Dikembe Mutombo*,10.33
53.,DeAndre Jordan,10.31
54.,Spencer Haywood*,10.28
55.,Clyde Lee,10.28
56.,Anthony Davis,10.20
57.,DeMarcus Cousins,10.19
58.,Karl Malone*,10.14
59.,Bob Lanier*,10.11
60.,Kevin Garnett*,10.03
61.,Trooper Washington,10.03
62.,Larry Bird*,10.00
63.,Buck Williams,9.96
64.,Bailey Howell*,9.88
65.,Paul Silas,9.85
66.,Larry Foust,9.84
67.,Ray Scott,9.84
68.,Patrick Ewing*,9.81
69.,Marcus Camby,9.78
70.,Chris Webber*,9.78
71.,Jack Sikma*,9.77
72.,Bill Laimbeer,9.74
73.,Arnie Risen*,9.73
74.,Emeka Okafor,9.69
75.,Sam Lacey,9.67
76.,Ben Wallace*,9.63
77.,Mel Hutchins,9.58
78.,Brad Daugherty,9.54
79.,Charles Oakley,9.52
80.,Carlos Boozer,9.51
81.,Rony Seikaly,9.47
82.,Jonas Valančiūnas,9.47
83.,Clyde Lovellette*,9.46
84.,Bob McAdoo*,9.45
85.,Rudy LaRusso,9.42
86.,Vern Mikkelsen*,9.41
87.,Truck Robinson,9.41
88.,Giannis Antetokounmpo,9.41
89.,Gene Moore,9.38
90.,Julius Randle,9.29
91.,Derrick Coleman,9.26
92.,Yao Ming*,9.25
93.,Dan Roundfield,9.23
94.,Domantas Sabonis,9.22
95.,Pau Gasol,9.22
96.,Larry Smith,9.20
97.,Jack Coleman,9.18
98.,Warren Davis,9.17
99.,Zach Randolph,9.15
100.,Dan Issel*,9.14
101.,Robert Parish*,9.13
102.,Marvin Barnes,9.12
103.,Maurice Lucas,9.11
104.,Willie Naulls,9.09
105.,Wayne Embry*,9.08
106.,Tom Boerwinkle,9.05
107.,Tyson Chandler,9.02
108.,Joakim Noah,9.01
109.,Manny Leaks,8.96
110.,George Yardley*,8.94
111.,Bob Netolicky,8.93
112.,Larry Kenon,8.91
113.,Ray Felix,8.88
114.,Clifford Ray,8.87
115.,Connie Hawkins*,8.85
116.,Luke Jackson,8.84
117.,Curtis Perry,8.83
118.,David Lee,8.83
119.,Ralph Sampson*,8.80
120.,Tom Heinsohn*,8.79
121.,Sidney Wicks,8.71
122.,Shawn Marion,8.69
123.,Andrew Bogut,8.66
124.,Jusuf Nurkić,8.61
125.,Tom Meschery,8.61
126.,Paul Arizin*,8.60
127.,Johnny Green,8.59
128.,Randy Denton,8.59
129.,Jim Washington,8.57
130.,Tyrone Hill,8.56
131.,Elton Brand,8.54
132.,Alonzo Mourning*,8.52
133.,Chris Bosh*,8.50
134.,Julius Erving*,8.47
135.,John Beasley,8.41
136.,Shawn Kemp,8.41
137.,Al Jefferson,8.40
138.,Lamar Odom,8.39
139.,Tristan Thompson,8.38
140.,Chuck Share,8.37
141.,Kevin Willis,8.36
142.,Kermit Washington,8.35
143.,Rick Roberson,8.33
144.,Cliff Robinson,8.33
145.,Leroy Ellis,8.31
146.,Willie Wise,8.29
147.,Bob Rule,8.27
148.,Anthony Mason,8.25
149.,Otis Thorpe,8.25
150.,Caldwell Jones,8.23
151.,Vlade Divac*,8.22
152.,Nat Clifton*,8.22
153.,Greg Monroe,8.19
154.,Blake Griffin,8.18
155.,Otto Moore,8.17
156.,Al Horford,8.16
157.,Jim Chones,8.16
158.,Bob Boozer,8.15
159.,Kenneth Faried,8.13
160.,LaMarcus Aldridge,8.12
161.,Horace Grant,8.11
162.,Joe Graboski,8.07
163.,Rudy Tomjanovich*,8.07
164.,Zaid Abdul-Aziz,8.05
165.,Steven Adams,8.05
166.,Tom Gola*,8.05
167.,Larry Nance,7.99
168.,Billy Paultz,7.97
169.,Donald Sidle,7.97
170.,Randolph Mahaffey,7.96
171.,Marcin Gortat,7.95
172.,Dave Greenwood,7.94
173.,Mark Eaton,7.93
174.,Dale Davis,7.87
175.,Amar'e Stoudemire,7.84
176.,Samuel Dalembert,7.84
177.,Woody Sauldsberry,7.83
178.,Troy Murphy,7.83
179.,Kenny Sears,7.83
180.,James Donaldson,7.83
181.,Enes Freedom,7.78
182.,Steve Stipanovich,7.77
183.,Lloyd Neal,7.75
184.,Neal Walk,7.73
185.,P.J. Brown,7.72
186.,Antoine Walker,7.72
187.,Andrew Bynum,7.71
188.,Wil Jones,7.67
189.,Joe Barry Carroll,7.67
190.,Cincinnatus Powell,7.65
191.,Darrall Imhoff,7.61
192.,Darnell Hillman,7.61
193.,Chris Kaman,7.59
194.,Michael Cage,7.58
195.,Dirk Nowitzki,7.55
196.,Jayson Williams,7.55
197.,Ed Macauley*,7.53
198.,Cornell Warner,7.53
199.,Antawn Jamison,7.53
200.,Antonio McDyess,7.53
201.,Sam Bowie,7.52
202.,Shareef Abdur-Rahim,7.52
203.,Benoit Benjamin,7.51
204.,Oscar Robertson*,7.50
205.,Larry Johnson,7.50
206.,LeBron James,7.48
207.,Clarence Weatherspoon,7.48
208.,Antonio Davis,7.48
209.,Gar Heard,7.47
210.,Josh Smith,7.44
211.,Popeye Jones,7.44
212.,Jerry Sloan*,7.44
213.,Brian Grant,7.44
214.,Jim Fox,7.44
215.,Mychal Thompson,7.43
216.,Vin Baker,7.42
217.,Kenny Carr,7.42
218.,A.C. Green,7.41
219.,Marc Gasol,7.41
220.,Rich Jones,7.40
221.,Russell Westbrook,7.37
222.,Zydrunas Ilgauskas,7.34
223.,Kevin McHale*,7.33
224.,Tom Gugliotta,7.33
225.,Arvydas Sabonis*,7.31
226.,Terry Cummings,7.30
227.,Jim Eakins,7.27
228.,Kevin Kunnert,7.26
229.,Magic Johnson*,7.24
230.,Danny Fortson,7.24
231.,Curtis Rowe,7.23
232.,Jermaine O'Neal,7.18
233.,Anderson Varejão,7.17
234.,Mickey Johnson,7.15
235.,Brad Miller,7.14
236.,Ömer Aşık,7.14
237.,Reggie Evans,7.13
238.,Serge Ibaka,7.12
239.,Drew Gooden,7.11
240.,Michael Smith,7.11
241.,Derrick Favors,7.10
242.,Erick Dampier,7.10
243.,Chet Walker*,7.09
244.,Loy Vaught,7.08
245.,Paul Millsap,7.07
246.,Kevin Durant,7.07
247.,Byron Beck,7.04
248.,Andris Biedriņš,7.04
249.,Alvan Adams,7.02
250.,Wayne Hightower,7.02
